query_index,num_active_labels,num_relevant_gallery,AP_percent,first_hit_rank,hit@1,hit@5,hit@10
684,3,7249,82.10554122924805,1,True,True,True
685,3,5308,50.962257385253906,1,True,True,True
686,1,3721,39.477527141571045,15,False,False,False
687,1,4518,56.92566633224487,1,True,True,True
688,1,2319,28.705814480781555,1,True,True,True
689,6,8019,82.92819261550903,1,True,True,True
690,4,6740,64.66939449310303,1,True,True,True
691,5,7611,81.58559203147888,1,True,True,True
692,3,8132,88.02924156188965,1,True,True,True
693,1,3990,50.84408521652222,1,True,True,True
694,5,9445,94.79197263717651,1,True,True,True
695,2,5218,64.452463388443,1,True,True,True
696,3,8185,88.07680010795593,1,True,True,True
697,1,3721,53.198981285095215,1,True,True,True
698,2,5218,69.1275417804718,1,True,True,True
699,2,4249,38.278865814208984,1,True,True,True
700,3,6804,76.62666440010071,1,True,True,True
701,2,5629,78.2160997390747,1,True,True,True
702,2,7338,70.30072808265686,1,True,True,True
703,4,7922,84.15693640708923,1,True,True,True
704,4,6748,84.62850451469421,1,True,True,True
705,4,6212,71.6646134853363,2,False,True,True
706,3,7991,86.14829778671265,1,True,True,True
707,4,6740,68.49809885025024,1,True,True,True
708,4,7731,82.99407362937927,1,True,True,True
709,3,5738,62.76264786720276,1,True,True,True
710,2,4300,47.858721017837524,7,False,False,True
711,1,4518,46.81214988231659,1,True,True,True
712,3,6875,69.97652649879456,1,True,True,True
713,1,2319,41.028180718421936,1,True,True,True
714,2,6389,79.10189032554626,1,True,True,True
715,4,7089,83.04584622383118,1,True,True,True
716,2,5629,84.5288336277008,1,True,True,True
717,1,4518,63.61636519432068,1,True,True,True
718,3,6875,82.92357921600342,1,True,True,True
719,2,5218,64.89744186401367,1,True,True,True
720,2,5092,76.19921565055847,1,True,True,True
721,1,4518,43.92338693141937,1,True,True,True
722,4,8806,90.28583765029907,1,True,True,True
723,1,3721,44.102564454078674,1,True,True,True
724,2,6123,56.79342746734619,1,True,True,True
725,1,2319,41.263559460639954,1,True,True,True
726,3,6266,62.44521141052246,1,True,True,True
727,3,6804,82.9405128955841,1,True,True,True
728,2,5218,54.82916235923767,2,False,True,True
729,2,5218,68.31331849098206,1,True,True,True
730,3,6875,88.2105827331543,1,True,True,True
731,3,5738,58.89790654182434,1,True,True,True
732,4,8903,91.32497906684875,1,True,True,True
733,4,8939,86.68720126152039,1,True,True,True
734,3,8433,87.77467608451843,1,True,True,True
735,3,5869,80.4941475391388,1,True,True,True
736,3,8433,84.70393419265747,1,True,True,True
737,3,6870,78.75824570655823,1,True,True,True
738,3,6569,81.68081045150757,1,True,True,True
739,2,5218,67.31911897659302,1,True,True,True
740,2,5218,58.13755393028259,1,True,True,True
741,2,5629,78.0111312866211,1,True,True,True
742,1,3218,37.17358112335205,1,True,True,True
743,5,7898,81.59974217414856,1,True,True,True
744,4,5815,57.64606595039368,1,True,True,True
745,1,3990,47.010377049446106,4,False,True,True
746,2,5591,57.13812708854675,1,True,True,True
747,2,5218,63.10268044471741,1,True,True,True
748,2,5092,56.23013973236084,1,True,True,True
749,3,7991,88.26352953910828,1,True,True,True
750,3,6804,81.2691867351532,1,True,True,True
751,4,7389,83.10273885726929,1,True,True,True
752,3,5869,76.76590085029602,1,True,True,True
753,2,6243,73.35837483406067,1,True,True,True
754,2,5218,62.29376196861267,1,True,True,True
755,2,5218,67.56761074066162,1,True,True,True
756,6,9693,97.19924926757812,1,True,True,True
